scheme,size,rep,total_ms,amortized_ms
VESTA-256,500,0,29.0,0.0579
VESTA-256,500,1,28.1,0.0562
VESTA-256,500,2,30.8,0.0617
VESTA-256,500,3,38.4,0.0767
VESTA-256,500,4,30.2,0.0604
VESTA-256,1000,0,64.9,0.0649
VESTA-256,1000,1,62.5,0.0625
VESTA-256,1000,2,60.9,0.0609
VESTA-256,1000,3,61.2,0.0612
VESTA-256,1000,4,66.7,0.0667
VESTA-256,2000,0,139.9,0.07
VESTA-256,2000,1,140.1,0.07
VESTA-256,2000,2,140.5,0.0703
VESTA-256,2000,3,137.8,0.0689
VESTA-256,2000,4,138.0,0.069
VESTA-256,5000,0,412.6,0.0825
VESTA-256,5000,1,403.5,0.0807
VESTA-256,5000,2,412.5,0.0825
VESTA-256,5000,3,413.9,0.0828
VESTA-256,5000,4,409.8,0.082
VESTA-256,10000,0,880.2,0.088
VESTA-256,10000,1,851.7,0.0852
VESTA-256,10000,2,843.8,0.0844
VESTA-256,10000,3,840.7,0.0841
VESTA-256,10000,4,902.6,0.0903
VESTA-2048,500,0,676.9,1.3538
VESTA-2048,500,1,680.8,1.3617
VESTA-2048,500,2,680.7,1.3614
VESTA-2048,500,3,679.8,1.3596
VESTA-2048,500,4,679.9,1.3598
VESTA-2048,1000,0,1473.5,1.4735
VESTA-2048,1000,1,1455.4,1.4554
VESTA-2048,1000,2,1465.7,1.4657
VESTA-2048,1000,3,1519.3,1.5193
VESTA-2048,1000,4,1508.0,1.508
VESTA-2048,2000,0,3307.0,1.6535
VESTA-2048,2000,1,3212.3,1.6062
VESTA-2048,2000,2,3304.5,1.6522
VESTA-2048,2000,3,3299.7,1.6499
VESTA-2048,2000,4,3231.1,1.6155
VESTA-2048,5000,0,9140.0,1.828
VESTA-2048,5000,1,9160.0,1.832
VESTA-2048,5000,2,9087.4,1.8175
VESTA-2048,5000,3,9009.7,1.8019
VESTA-2048,5000,4,9227.3,1.8455
VESTA-2048,10000,0,19651.5,1.9652
VESTA-2048,10000,1,19748.9,1.9749
VESTA-2048,10000,2,19934.5,1.9934
VESTA-2048,10000,3,20189.7,2.019
VESTA-2048,10000,4,19854.6,1.9855
