scheme,size,rep,bytes
VESTA-256,500,0,15940
VESTA-2048,500,0,16164
MHT,500,0,38316
VESTA-256,500,1,15941
VESTA-2048,500,1,16165
MHT,500,1,38316
VESTA-256,500,2,15941
VESTA-2048,500,2,16165
MHT,500,2,38316
VESTA-256,1000,0,31847
VESTA-2048,1000,0,32071
MHT,1000,0,76816
VESTA-256,1000,1,31847
VESTA-2048,1000,1,32071
MHT,1000,1,76816
VESTA-256,1000,2,31847
VESTA-2048,1000,2,32071
MHT,1000,2,76816
VESTA-256,2000,0,63668
VESTA-2048,2000,0,63892
MHT,2000,0,186903
VESTA-256,2000,1,63660
VESTA-2048,2000,1,63884
MHT,2000,1,187075
VESTA-256,2000,2,63663
VESTA-2048,2000,2,63887
MHT,2000,2,186959
VESTA-256,5000,0,159124
VESTA-2048,5000,0,159348
MHT,5000,0,527377
VESTA-256,5000,1,159130
VESTA-2048,5000,1,159354
MHT,5000,1,527614
VESTA-256,5000,2,159119
VESTA-2048,5000,2,159343
MHT,5000,2,527384
VESTA-256,10000,0,318205
VESTA-2048,10000,0,318429
MHT,10000,0,1098595
VESTA-256,10000,1,318210
VESTA-2048,10000,1,318434
MHT,10000,1,1098740
VESTA-256,10000,2,318212
VESTA-2048,10000,2,318436
MHT,10000,2,1098582
SMT,500,0,4964040
SMT,500,1,4964600
SMT,500,2,4964360
SMT,1000,0,9885800
SMT,1000,1,9885720
SMT,1000,2,9885640
SMT,2000,0,19696000
SMT,2000,1,19695560
SMT,2000,2,19695000
SMT,5000,0,48965240
SMT,5000,1,48965760
SMT,5000,2,48960560
SMT,10000,0,97534560
SMT,10000,1,97534080
SMT,10000,2,97539600
